replay_id,as_of_date,symbol,display_name,candidate_rank,left_score,kline_path,notes
2025-03-25_510050_RECONSTRUCTED,2025-03-25,510050,上证50ETF,2,0.67,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-25_159937_RECONSTRUCTED,2025-03-25,159937,黄金ETF,3,0.665,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-25_510300_RECONSTRUCTED,2025-03-25,510300,沪深300ETF,4,0.5650000000000001,E:/AETF-ModelLab/data/real/normalized/kline/510300.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-25_159996_RECONSTRUCTED,2025-03-25,159996,家电ETF,5,0.54,E:/AETF-ModelLab/data/real/normalized/kline/159996.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-26_159937_RECONSTRUCTED,2025-03-26,159937,黄金ETF,1,0.685,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-26_512800_RECONSTRUCTED,2025-03-26,512800,银行ETF,2,0.645,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-26_510050_RECONSTRUCTED,2025-03-26,510050,上证50ETF,3,0.55,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-26_512690_RECONSTRUCTED,2025-03-26,512690,酒ETF,4,0.54,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-26_510500_RECONSTRUCTED,2025-03-26,510500,中证500ETF,5,0.53,E:/AETF-ModelLab/data/real/normalized/kline/510500.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27_159937_RECONSTRUCTED,2025-03-27,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27_512800_RECONSTRUCTED,2025-03-27,512800,银行ETF,2,0.625,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27_159992_RECONSTRUCTED,2025-03-27,159992,创新药ETF,3,0.5950000000000002,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27_512690_RECONSTRUCTED,2025-03-27,512690,酒ETF,4,0.545,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27_510050_RECONSTRUCTED,2025-03-27,510050,上证50ETF,5,0.51,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28_159937_RECONSTRUCTED,2025-03-28,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28_159992_RECONSTRUCTED,2025-03-28,159992,创新药ETF,2,0.64,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28_159996_RECONSTRUCTED,2025-03-28,159996,家电ETF,3,0.575,E:/AETF-ModelLab/data/real/normalized/kline/159996.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28_510500_RECONSTRUCTED,2025-03-28,510500,中证500ETF,4,0.555,E:/AETF-ModelLab/data/real/normalized/kline/510500.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28_512690_RECONSTRUCTED,2025-03-28,512690,酒ETF,5,0.535,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31_159937_RECONSTRUCTED,2025-03-31,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31_159992_RECONSTRUCTED,2025-03-31,159992,创新药ETF,2,0.6200000000000002,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31_159996_RECONSTRUCTED,2025-03-31,159996,家电ETF,3,0.62,E:/AETF-ModelLab/data/real/normalized/kline/159996.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31_512800_RECONSTRUCTED,2025-03-31,512800,银行ETF,4,0.5950000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31_510050_RECONSTRUCTED,2025-03-31,510050,上证50ETF,5,0.57,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01_159937_RECONSTRUCTED,2025-04-01,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01_159992_RECONSTRUCTED,2025-04-01,159992,创新药ETF,2,0.6250000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01_512010_RECONSTRUCTED,2025-04-01,512010,医药ETF,3,0.6100000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512010.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01_512800_RECONSTRUCTED,2025-04-01,512800,银行ETF,4,0.56,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01_159996_RECONSTRUCTED,2025-04-01,159996,家电ETF,5,0.5199999999999999,E:/AETF-ModelLab/data/real/normalized/kline/159996.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02_159937_RECONSTRUCTED,2025-04-02,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02_159992_RECONSTRUCTED,2025-04-02,159992,创新药ETF,2,0.6250000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02_512010_RECONSTRUCTED,2025-04-02,512010,医药ETF,3,0.56,E:/AETF-ModelLab/data/real/normalized/kline/512010.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02_512100_RECONSTRUCTED,2025-04-02,512100,中证1000ETF,4,0.5449999999999999,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02_512800_RECONSTRUCTED,2025-04-02,512800,银行ETF,5,0.5449999999999999,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03_159937_RECONSTRUCTED,2025-04-03,159937,黄金ETF,1,0.725,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03_159992_RECONSTRUCTED,2025-04-03,159992,创新药ETF,2,0.6250000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159992.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03_512800_RECONSTRUCTED,2025-04-03,512800,银行ETF,3,0.5950000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03_512100_RECONSTRUCTED,2025-04-03,512100,中证1000ETF,4,0.54,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
