as_of_date,symbol,display_name,candidate_rank,left_score,notes
2025-04-17,512690,酒ETF,3,0.6650000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17,512800,银行ETF,4,0.65,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17,510050,上证50ETF,5,0.6350000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-18,159937,黄金ETF,1,0.7899999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-18,159928,消费ETF,2,0.7100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-18,510050,上证50ETF,3,0.67,reconstructed_candidate_history_not_real_left_snapshot
2025-04-18,512800,银行ETF,4,0.65,reconstructed_candidate_history_not_real_left_snapshot
2025-04-18,512690,酒ETF,5,0.6150000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-21,159937,黄金ETF,1,0.7899999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-21,159928,消费ETF,2,0.6649999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-21,510050,上证50ETF,3,0.6150000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-21,512480,半导体ETF,4,0.6150000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-21,159992,创新药ETF,5,0.595,reconstructed_candidate_history_not_real_left_snapshot
2025-04-22,159937,黄金ETF,1,0.7999999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-22,159928,消费ETF,2,0.695,reconstructed_candidate_history_not_real_left_snapshot
2025-04-22,510050,上证50ETF,3,0.6200000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-22,159992,创新药ETF,4,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-22,512800,银行ETF,5,0.5850000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-23,159937,黄金ETF,1,0.7949999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-23,159928,消费ETF,2,0.7,reconstructed_candidate_history_not_real_left_snapshot
2025-04-23,510050,上证50ETF,3,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-04-23,159992,创新药ETF,4,0.6050000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-23,512480,半导体ETF,5,0.6,reconstructed_candidate_history_not_real_left_snapshot
2025-04-24,159937,黄金ETF,1,0.7949999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-24,510050,上证50ETF,2,0.7000000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-24,512800,银行ETF,3,0.685,reconstructed_candidate_history_not_real_left_snapshot
2025-04-24,159928,消费ETF,4,0.645,reconstructed_candidate_history_not_real_left_snapshot
2025-04-24,159992,创新药ETF,5,0.6050000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-25,159937,黄金ETF,1,0.7949999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-25,510050,上证50ETF,2,0.72,reconstructed_candidate_history_not_real_left_snapshot
2025-04-25,512800,银行ETF,3,0.7000000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-25,159928,消费ETF,4,0.6800000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-04-25,588000,科创50ETF,5,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-28,159937,黄金ETF,1,0.8049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-28,510050,上证50ETF,2,0.7050000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-28,159928,消费ETF,3,0.6800000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-04-28,512800,银行ETF,4,0.67,reconstructed_candidate_history_not_real_left_snapshot
2025-04-28,588000,科创50ETF,5,0.585,reconstructed_candidate_history_not_real_left_snapshot
2025-04-29,159937,黄金ETF,1,0.8049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-29,159928,消费ETF,2,0.6800000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-04-29,512800,银行ETF,3,0.67,reconstructed_candidate_history_not_real_left_snapshot
2025-04-29,510050,上证50ETF,4,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-04-29,512480,半导体ETF,5,0.56,reconstructed_candidate_history_not_real_left_snapshot
2025-04-30,159937,黄金ETF,1,0.8049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-30,512480,半导体ETF,2,0.645,reconstructed_candidate_history_not_real_left_snapshot
2025-04-30,159928,消费ETF,3,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-04-30,510050,上证50ETF,4,0.6050000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-30,512760,芯片ETF,5,0.5950000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-05-06,159937,黄金ETF,1,0.8049999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-05-06,159928,消费ETF,2,0.6800000000000002,reconstructed_candidate_history_not_real_left_snapshot
